country,T,inside_90,inside_50,cov90,cov50
UAE,168,145,111,0.8630952380952381,0.6607142857142857
Bahrain,168,140,85,0.8333333333333334,0.5059523809523809
Indonesia,168,154,85,0.9166666666666666,0.5059523809523809
Kuwait,168,149,134,0.8869047619047619,0.7976190476190477
Malaysia,168,144,109,0.8571428571428571,0.6488095238095238
Qatar,168,148,88,0.8809523809523809,0.5238095238095238
Saudi Arabia,168,144,103,0.8571428571428571,0.6130952380952381
