run,step,mark_price,index_price,funding_rate,cumulative_funding_index,oi_long,oi_short,insurance_fund_balance,liquidations_this_step,total_liquidations,total_collateral_locked,protocol_insolvent,funding_paid_longs,funding_received_longs
0,0,49953.18090400379,50125.88843456533,0.0,1.0,25000.0,25000.0,100375.0,5,5,50000.0,0,0.0,0.0
0,1,50530.709608632686,51450.36779022768,-0.0034454757003856366,0.9965545242996143,25000.0,25000.0,100375.0,0,5,25000.0,0,0.0,86.13689250964092
0,2,49581.757928907435,51492.91010556843,-0.0075,0.9890545242996144,25000.0,62158.63370542234,100375.0,0,5,25000.0,0,0.0,273.6368925096409
0,3,49824.044420880535,52577.82209878119,-0.0075,0.9815545242996144,25000.0,82771.42952419081,100375.0,0,5,25000.0,0,0.0,461.1368925096409
0,4,49798.602739809205,51617.45498575796,-0.0075,0.9740545242996145,25000.0,82771.42952419081,100375.0,0,5,25000.0,0,0.0,648.6368925096409
0,5,50207.13340827452,51453.34063989493,-0.0075,0.9665545242996145,25000.0,82771.42952419081,100375.0,0,5,25000.0,0,0.0,836.1368925096409
0,6,50674.07599899541,51320.13228176423,-0.0075,0.9590545242996146,25000.0,82771.42952419081,100375.0,0,5,25000.0,0,0.0,1023.6368925096409
0,7,51236.42439329932,52720.30238235797,-0.0075,0.9515545242996146,25000.0,82771.42952419081,100375.0,0,5,25000.0,0,0.0,1211.1368925096408
0,8,52433.921113462,54828.26206567013,-0.0075,0.9440545242996147,25000.0,82771.42952419081,100375.0,0,5,25000.0,0,0.0,1398.6368925096408
0,9,52983.67988907293,54823.378035654896,-0.0075,0.9365545242996147,25000.0,67771.42952419081,100375.0,0,5,25000.0,0,0.0,1586.1368925096408
0,10,52683.18177679906,55591.90315551689,-0.0075,0.9290545242996148,32157.621768513774,67771.42952419081,100375.0,0,5,25000.0,0,0.0,1773.6368925096408
0,11,53702.15641925282,55305.15444987566,-0.0075,0.9215545242996148,32157.621768513774,67771.42952419081,100375.0,0,5,25000.0,0,0.0,2014.819055773494
0,12,54199.7851242449,55362.733811777674,-0.0075,0.9140545242996149,32157.621768513774,67771.42952419081,100375.0,0,5,25000.0,0,0.0,2256.0012190373473
0,13,55276.89361234069,56001.67203322254,-0.0075,0.9065545242996149,32157.621768513774,67771.42952419081,100375.0,0,5,25000.0,0,0.0,2497.1833823012007
0,14,56361.083373767644,56056.6418019243,-0.0075,0.899054524299615,32157.621768513774,67771.42952419081,100375.0,0,5,25000.0,0,0.0,2738.365545565054
0,15,55565.65222457288,54846.57369489825,0.0054309634337191765,0.9044854877333341,32157.621768513774,57771.42952419081,100375.0,0,5,25000.0,0,174.6468679401701,2738.365545565054
0,16,55538.67941382459,56731.060614709204,0.0075,0.9119854877333341,32157.621768513774,57771.42952419081,100375.0,0,5,25000.0,0,415.8290312040234,2738.365545565054
0,17,56204.567598282854,57015.18149730036,-0.0075,0.9044854877333341,32157.621768513774,57771.42952419081,100375.0,0,5,25000.0,0,415.8290312040234,2979.5477088289076
0,18,56382.95002600963,55439.21360302111,-0.0075,0.8969854877333342,32157.621768513774,57771.42952419081,100375.0,0,5,25000.0,0,415.8290312040234,3220.729872092761
0,19,55740.63835800642,56415.7295969732,0.0075,0.9044854877333341,39611.6806272511,57771.42952419081,100375.0,0,5,25000.0,0,657.0111944678767,3220.729872092761
0,20,56180.45228181376,56644.23975891742,-0.0075,0.8969854877333342,45279.45604368842,57771.42952419081,100375.0,0,5,25000.0,0,657.0111944678767,3517.817476797144
0,21,56361.50352561295,57608.600724935255,-0.0075,0.8894854877333342,58508.253893511326,57771.42952419081,100375.0,0,5,25000.0,0,657.0111944678767,3857.413397124807
0,22,55901.386156098444,56957.24425696886,-0.0075,0.8819854877333343,58508.253893511326,57771.42952419081,100375.0,0,5,25000.0,0,657.0111944678767,4296.225301326142
0,23,56152.62880066474,58483.8141646617,-0.0075,0.8744854877333343,58508.253893511326,57771.42952419081,100375.0,0,5,25000.0,0,657.0111944678767,4735.0372055274765
0,24,56740.300092666606,55781.59391863177,-0.0075,0.8669854877333344,85942.08430088678,57771.42952419081,100375.0,0,5,25000.0,0,657.0111944678767,5173.8491097288115
0,25,56380.67227105511,53699.90599290224,0.0075,0.8744854877333343,85942.08430088678,37771.42952419081,100375.0,0,5,25000.0,0,1301.5768267245276,5173.8491097288115
0,26,55763.67624804222,52795.139513341404,0.0075,0.8819854877333343,112088.26571980884,37771.42952419081,100375.0,0,5,25000.0,0,1946.1424589811784,5173.8491097288115
0,27,55372.1473627073,53339.66159755687,0.0075,0.8894854877333342,112088.26571980884,37771.42952419081,100375.0,0,5,25000.0,0,2786.8044518797446,5173.8491097288115
