episode,final_insurance_fund,total_liquidations,protocol_insolvent,rl_final_pnl,rl_final_capital,mean_abs_funding,mean_oi_imbalance,gt_intervals_run,max_funding_rate,maintenance_margin,liquidation_penalty,insurance_split
0,101175.0,11,0,117.06181352958981,40605.35563217663,0.007013584335982006,0.41815353949034356,13,0.0075,0.02,0.01,0.5
1,100782.04451347161,7,0,309.7193607172379,36716.28388387571,0.005801559393116361,0.32229483020873284,13,0.006150411451210409,0.024301277255355146,0.011052444423521667,0.5504648822545164
2,101139.48553622648,9,0,0.0,45000.0,0.005027325292947778,0.5747473564120673,13,0.005205699467057696,0.027312171334103748,0.011789155519986834,0.5857902998326778
3,101888.68541042886,11,0,0.0,45000.0,0.004418640297177079,0.20629278591778702,13,0.004544401078150796,0.02941979718922777,0.012963899107653151,0.582752270669517
4,102835.19350840832,15,0,0.0,45000.0,0.003962218916818489,0.331120063988449,13,0.0040814922059159665,0.030895135287814585,0.013127173798878873,0.6083914717231782
