gamma,prem_icds_usd,prem_cds_usd,EU_unhedged,EU_icds,EU_cds,delta_EU_icds,delta_EU_cds,hedge_equiv_bps
2,481800.0,331241.4061486575,-1.0756523917947598e-07,-1.0506188144817298e-07,-1.0342589385114345e-07,2.5033577313029984e-09,4.139345328332525e-09,150.5585938513425
5,481800.0,331241.4061486575,-4.4053194970532083e-29,-3.0459355113600185e-29,-2.8606000404663663e-29,1.3593839856931899e-29,1.544719456586842e-29,150.5585938513425
10,481800.0,331241.4061486575,-1.3496546232488598e-63,-1.7328623085810383e-64,-1.5045999292277324e-64,1.176368392390756e-63,1.1991946303260866e-63,150.5585938513425
